v1,v2,v3,v4,v5,v6
67.8757,20.0836,7.69846,0.78703,-0.216321
66.6159,16.4129,7.79225,1.19075,-0.145726
66.0667,18.2663,9.65825,1.48255,-0.329545
67.8873,18.7492,7.12908,1.26637,0.144383
69.4495,25.0344,6.18892,1.69297,-0.147777
69.1888,23.6027,5.97421,1.66719,-0.376986
70.199,25.3,5.27495,1.22253,-0.0380993
65,24.162,9.16441,1.3,0.137889
65.1057,24.9497,6.54233,0.939479,-0.0601154
70.0584,25.3,5.29364,1.29161,0.130134
65.525,23.4976,7.16557,1.59955,-0.14564
65,23.4814,7.61384,1.3,0.198062
65,24.277,8.336,1.3,0.140391
66.9691,24.8749,6.7172,0.762551,-0.129771
72.747,25.3,5.27122,1.27566,0.125803
66.3233,19.209,8.21863,1.46341,-0.192438
65.9106,25.0335,7.33252,1.69369,-0.00327769
72.0431,22.1596,7.93912,1.24176,0.0234413
67.3642,22.7389,7.43452,1.40774,-0.534007
69.3893,18.8682,9.89727,1.27839,0.0582018
67.5911,18.4744,7.69079,1.02452,-0.517649
69.9926,25.3,4.77835,1.22509,0.0152226
65.4136,18.1582,8.78368,1.10414,0.0904691
67.3985,20.4704,7.73468,1.16885,-0.203259
69.1983,25.3,4.96708,1.25915,0.198691
75.4183,25.2253,4.95252,1.52484,-0.152416
66.1399,23.3715,6.9141,1.60514,-0.178356
66.3168,22.8891,9.8367,1.36693,0.047618
67.0472,17.7728,9.51605,1.29987,-0.189032
71.3795,21.1314,7.61953,0.851796,-0.14362
65.582,22.2444,9.63508,1.38382,-0.24279
66.0089,16.1881,6.49546,0.683508,0.0897671
65,24.2393,8.58697,1.3,0.179
66.3349,17.7481,9.71868,1.2659,-0.14677
75.3052,25.1357,6.49166,1.13771,-0.115107
70.1364,24.0583,6.60825,1.68252,-0.385852
67.6124,18.2572,5.95015,1.1777,0.095529
65.378,18.3107,7.46197,1.71252,-0.202756
65.4151,17.8916,8.62194,0.636958,-0.0150578
71.3275,15.0911,7.55829,1.08834,-0.109903
67.8522,21.4827,7.45772,1.45634,-0.35175
65,22.5473,7.84572,1.3,0.133259
67.4404,15.832,8.97664,0.681756,0.0924375
67.7396,16.7348,7.55951,1.16501,-0.576769
69.9756,21.2508,5.56049,0.742735,-0.195004
67.1083,20.8757,7.77853,1.50193,-0.438813
65.9317,23.3297,5.98091,1.35254,0.0381787
65,19.1454,8.78628,1.3,0.116382
75.1731,20.1584,5.60561,0.721915,-0.188656
70.3792,22.45,7.02593,1.09123,-0.124216
66.3366,19.8824,9.23739,1.35475,-0.171331
65.4701,23.9252,6.28659,1.62861,0.108444
65.4218,16.5523,9.35646,1.18816,-0.126032
71.0089,17.5655,4.7972,0.994055,-0.197748
72.8719,20.9865,5.21236,1.20535,-0.0162816
67.7305,19.4033,7.41126,1.69266,-0.599634
65,22.9471,6.98616,1.3,0.1588
66.0614,19.7068,8.16016,1.6124,0.0346507
67.8389,17.1243,7.35144,1.05913,0.06639
73.3543,25.3,5.51554,1.20256,0.118351
73.8279,24.7485,5.3653,1.2317,-0.211576
65,19.6453,9.08648,1.3,0.128178
66.6948,21.5509,9.00513,1.41884,-0.313053
67.1484,15.7954,9.59971,1.17562,0.0585894
75.6255,17.121,7.00025,0.969445,-0.105237
66.9322,19.9904,7.69367,1.37631,-0.178552
65.1932,24.3608,6.21593,1.63622,0.159471
65.4934,21.3736,8.83176,1.69692,-0.405554
65.7321,17.0259,7.96772,0.782247,-0.0632618
70.7869,25.3,4.78057,1.21084,0.0631703
66.3446,22.8718,8.99982,1.47611,-0.536851
65.8193,23.7313,6.26007,1.53693,-0.275503
65.8383,22.5987,9.73085,1.68221,-0.486798
66.1019,17.7337,6.89085,0.878872,-0.114475
74.5808,23.7603,5.30105,1.66258,-0.408786
66.799,22.8239,9.00712,1.54897,-0.550331
65,18.7879,8.46033,1.3,0.156911
69.0029,21.848,7.39796,1.26558,0.0888974
67.5842,17.1582,7.70855,0.959081,-0.286563
65.3156,25.3,5.66431,1.2136,0.0548662
67.9779,15.3703,7.58397,0.763811,-0.313639
65.3414,25.3,4.81934,1.28192,0.105927
69.2809,19.2028,5.42688,1.25047,0.0841975
71.2062,24.0474,6.5966,0.832588,-0.134431
97.8533,15.6657,3.70818,1.50832,0.257726
97.1103,12.4996,2.97848,1.27017,-0.137172
97.8055,15.4936,4.19019,1.57842,0.206473
95.0435,12.6697,3.42564,1.52146,-0.125239
97.0772,20.3027,1.80313,1.4,-0.219327
92.2727,11.1,2.32068,1.44339,-0.210077
95.3677,15.9595,2.3911,0.970559,-0.14651
82.1335,18.5145,4.84954,0.947945,-0.215366
85.2256,21.6888,6.48687,0.723975,-0.546425
88.0688,15.5823,4.24502,0.556243,0.111972
79.0725,18.9545,4.68317,1.05301,0.0568468
89,19.4257,6.3909,0.631675,-0.0412214
89,23.6481,5.99757,0.547841,-0.00112003
